productCode,section,category,name,onecname,extraDescription,description,size,color,country,manufacturer,packageSize,characteristics,measureUnit,stock,price,images
00000000010,Пломбировочные материалы,Пломбировочные материалы,Asteria - Набор шприцов,Asteria - Набор шприцов,Asteria - Набор шприцов,пломба,7шт,,Япония,,,,,10.0,175000.0,https://shop.pharmgeocom.ru/upload/resize_cache/iblock/549/340_340_140cd750bba9870f18aada2478b24840a/estelite-asteria-estelayt-asteriya-syringe-essential-kit-nabor-7-shpritsov.jpg
00000000011,Полировочные системы,Пасты,GS Tooth Mouse,Крем на водной основе,паста,"GC Tooth Mousse – это крем на водной основе, содержащий RECALDENT TM (СРР-АСР: Казеин Фосфопептид — Аморфный Кальций Фосфат)",1шт,,Россия,,1шт,,шт,10.0,8800.0,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBw4QDw8PEA8VEA8QDxAPEA4WDxgVDxAQFRUWFhcVFhUYHSggGBolGxUWIjIhJykrLi4uFx8zODMtNygtLi0BCgoKDg0OFxAQGi0iHSYrLSsvLSstKystKzctKy0tLSstLi0tLS0rLS0tLystLS03Ny8tLS8tLS8tKy0tLS0tLf/AABEIAOEA4QMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAAAQIFAwQGBwj/xABEEAACAgEDAgQEBAIGCAQHAAABAgADEQQSIQUxBhMiQTJRYXEUQoGRI7EHUnKhwdEVJDNFgoOS0hZD8PE0U1WEk6Kz/8QAGgEAAwEBAQEAAAAAAAAAAAAAAAECAwQFBv/EAC8RAQACAQIDBgUDBQAAAAAAAAABAgMRMQQSIQUTQVGR8CJxgbHRQqHBFDJSYeH/2gAMAwEAAhEDEQA/APXIQhOpziEIxACSEQjiMRwjiMRwjiAhHDERlHHiGIAoRwxAIwjxCARikooyKKOKMFFHEYyKIxmKMhCEIAQhCAEIQgBJRRiIzjijgDjhHJMCOEYiMR4hHEZRwjgCikooAopKKARikjFGSMixA5PA+cnPKfFXiO27U2JvZdPVYVRExlipILHIyTkH6AD9Znlyxjrq6+E4LJxU2inhGv8Az5y9Q8xfSNw9Xw8j1cZ4+fElPKel+ILKyxRimwE8gMMfmwCMft856X0nW+fRXdgDeOQDkZBx3/SZ8PxUZZmsxpLlyYsuK00y1ms+/HbxbRijMRnWgjCEIyEIQgBCEcABJRCOIzEYiElEYPb5/SU1nVtWvbp7N9tTXLqYCJlk18Ja45iN419f4lRv4k1S9+l3fpYp/kJiHi6/26XqP2b/ALJZ6m/1DlgFsRTgfGWBwO/YZBP2m/0hWFeGbc2eW+ZmGt52t9nTFsUR1xx6z+VCvinVHt0rUf3/APZMi+ItYf8AdN//AFj/ABWXvk2NZZl3RAVCBSuGTaCe4JB3Z549oumC0IfNBDbuMtkkFVJzg4B3FhxxwIvj/wAvsc2xaf2R6z+VQvXdaf8AdV3/AOVB/OZF6xrT/uu0f8+r/OXxMwXajayLgkuSOBwABkkmV8Ufq+34RzUnaketvyrB1TWf/TnH/wBxV/nNvRaq9zizTNSMcMbUcfbCnMdTEWWJ6jkby5+Fc8BV/bMz6avaqrknHuTkk/MwrNtd/sm/Lp0rH7/llikopu5ykTJRGMIzw3rVJr1WprPDLdb98ZyDz7EHM9yM5bxN4Nr1louW002HaLPRvSzbwCVyPVjjPymHEY5vEcr1+x+NpwuW3edImHmGj09lti11KzWOfSBwTk8kDsBjvzjjvPZeg9O/DaamjduKLhm9ixOTj6ZJx9Jh6B4d02iUioFrGGHubmxvp9B9BLYx4MPJ1ncu1u044qYpSPhj1lGIxxGdTxkYRxGMhCEIACMRRiAMSQiEcRmIxEJISTEqNRptR5yutn8Psyb8AewIUqc8c9+/0lwJgaZ3aVV+pQl9oZhurHqHwrtYZ/4m3Y/4ZY6SwqvClsuq4GOAe7HJ7DvMDzN0izchb5nI/s5OD+2Jlo016Ku/UdTWzivcgsCHZUnKYDeYN9gOd2Ux2A5PylvpPOIQ2HG0OjjaAbGBAFgwx2qcMQvfDDOMYm3FAkTNTX170ZSWx3IX4mA52j74xNpjMLNCY1ETpOrAlXmCqx1KsvrFeeFYjHPHcZm4g5ka1yMyY4hEaCZ1Tii3GQ3NNOaEaJxSBZo8mHNA5QYjIsxjU5GZUWiSmNCMUkZEy0EYjGYpRImKMxRkIQhACMRSQgDjEUkJJmIxEIxFKoSE5/qnVrK71oSpbCyIVDWlCzsxGB6SMBUYkn6ADvjoBOX682nXU1G9dimvC6lbnV0dbFYKVUYxx8RPHI/NMrrqttXZtR2HdVZh9wDNvpKbU2/1Qqj9BiU2m6zpdRY1NdiuwRLCM4JBweAeeAVz8twEu9B+b7iQtWf+JQ2pfT0aW/ULTatGo1KeWtFFhxkEu6ltoIJ2g4+/EfRfEJ1bbqtLaNITYE1rMgrt2HGVTdv2kg4JHOJzFnQtOeoJUeoaVqx1SzqC6Q4OuXUOpL1A7/h3er4cgDE6Xwx0XU6JBp21K3aWpdmmTyClyLuJAss3kPgccKPnEFvYZp3XhQSxwqgkn2AHJMx9b6rTparLrWwtaqzBRufDNsXCjk5biaXVELqUyAGZQ/1TI3L+oBH6wEN/o97eUDYSC260g903Ett/4QQP0myvUKyofD7SAQfKbGD2OcY5yP3lfprASQe2Oflj3mvf1euuuiqunzKLKkNFpu2o6oN2CxBbsqc4O4uB8yErpO6/rcMMjOPt3+o+Y+slKrpPWKrEARMKEIrXzFZ3KA5r2g5DBQCQe25ffIFshJAJG0kAlTjKn5cRpkjNbWa6qrZ5jBfMsWpBgktY3ZQB9jMuo37G2Y37Ts3fDuxxnHtmU9Ba+h61tSzW6fNR1Jp/h1akr6igx7Z9vsfeEyqtdes7LS/UorVoxw1hKoMZJIGT+mPeZsTQ6Nq67qQyubfLLUm9lANjp6XZfoSD24m+ZeNGSNOiJiMkZEzaGSJikjIxpIyMkYpQKEIQI4xFGIGckIhGJIMSQkRJRSpITj/Flmk82urUl0DLk2q4VVQFs78/l7k/2ROwE5fxF07TW2q9l3k2qn8NjjYMMSrYbg4bnGfaZXXVh6R0mmq7zV1IuJTbzs3nvk5X5s5Pb3E6bpjghiDn1Y/UZBH7zz3UeDrShFGoqsADBHK+tcDCDPqBI55wOXJ/KBO78O6fyqErxjZXWmN27kLg+rA3du+BmZrcZ4h6dqjqupaiii1Ru6bp99VZW99PuazVPQwwS+LNpZeeDzkSr1XTOqGva2n1tukYdROj0/4orqKbWKDTHUO1gbaB5jDJO3IyO0l1rxHrBrOoKuqsWu/8Tp9MobC6caU1jUWqR8LBUvOfniT6P4v11Vemrdq7PKt0WkvpsLvr9RZfSt1lytu4VN/upyEPIiDFqvCusuuuGo07WO9/Sq31vnDDaSpK2vCercCXRvYcsMdzLbw1059JpnqdPLzqtVYlW4MK6ntYoAQT+XB7+8pX8f6m7TI9Wo0wsXp1Oo1DFkVF1Ft2PKRrG2iwVJZhWPxYz8pWdR8U6vNhrve7boVurQVVb62KrubV1qu6twbAwCnaQvbvCQ9G6dePM2552kgZ5IBHtM/VPEq6a2uhaH1FzVm5kV60SqkMF3vZa6qoLHAGcmcj4FZnFV1lvnuxsCXFWVvKycLyqbsHPq2jPym34602leypbW1aWaql9Efw9C2rfUcuamDqQGG0sCMEcnMIEux0vXRbb5VWmtcKUW64eX5VLuofaTvyxAIztB7y1YzmekPoK2u1Gn6ig06sPxNAupahbQgrBdsFq2wq8bhys3uq+JNFp6y7XoxNFmorRXBa6utdx2c4Occc84PyMYWuZoatTUzagufKrpb/AFdVwGcnO4/1mPYD6yXSuo06msW1OrrwGCurGt8AlG2kgMM8iGsHmW00/lB/EWfZD6B+r4b/AJZhJ13bh7DjHbiMxN3EZmlGdkTImSiM0hCJiMZiMpKJijMRjBQhCMjjEUYiNIRiIRiIJCMRCMSZUmJV6zShyTvdTjHpfAxn+qcg/tLMTUs7n7mZ3XVUVdGrDbnxYwYMj+WqOpHzKAbvb29pd9O/N+k062JVSe5UE/cibfTvzfpIWprBogWVumjOLkYtXVtK3vm3ljyrk7m+fvFZ1DTpabfwdaWqnl+c1mnVwAp2pu3ZHbGPb7CXP+htJkn8PXknJJrBOfnzJnQ0DkU15znPlrnPPPb6n9zEHKf6bqytYp0q7mKhV1KEd/T8KkZLE8ex+81eo29Qz/sKEBxn+O7H68hB9f2+vHXPUgHpVR78KBz+kpuqdop2OFTo3xcn9oD9+Jm8S6fT26nQ13aryWZdZVRWFJssttp8ncrDhSqu3f3I+U0qmxYh+TKf75n8VeGtRrba7KbErapEStyTvTdcrWsBg87FGPr8oqiVP4f8M16oJqdN1Gi23R26XTVldGy6P/VVfC2VF82OfN3bgwwQMSzPgC0VvUNeNt2jbS2k0eve1732NWQ/oB8xht5wAOZVW/0b6rYUUaZlsXVIqu77dE1l2U1FICeuwUrWv5cFRg4zNxvA2uJsWw0XU+f1C8fxrK7731KLUrO4Q7CtZZcjPYSidj4f6WmmfVstiMNXqfORFUKqItaVisAH1Y2Zz9ZuVW1Lew8zdZf8IAyAlQxtyOOCWPPuxnB6LwFrQKvXpqrE0ttJvRcnL+YU21CpQjqzrm1SpbByvadX4N6EdFpjWyIljvvsFbsyEhVTI3AYJCDgKB9+5BqvB8X6GTMinc/aSM1rsztugYjGYjLTKJiMcRlJRMRkjImMFCEIyOMRRiI0hGJESQiBiSEiJISZUkJwfjbqb6bVVMHKoa23qCQpG5vbsTzO8E88/pU0zGuu0DIUujfTPI/kZz8RHwtcca2iGDpPj/TCorctnmBiSwQFWDMfh57AY74+k7voGqS6sWpnZYquuRg4PzE+f9e/pRRgY9I475nufgRCuh0wPfyKz+4yP7jMcN5tHV2cbgjDk5Y8mTxL1t9KawiK24Endn29gRxKenxezK27ajMCqHYQgbGB693zwe3+cz+P6SVqb8vqX4RgE8/F3zx2+k8v62+E2787ifTk8HtmcuXJk7yYi2jnxUm94rG8uo/8cUVahxYX8rTK9NNKJl7MMVDHJAGF7kke01upf0j6Vk9FNu/3rYKu0Z+YJz/67TjqUrUM1gLMcnJJIJ9Xcj6kHv8AlMourt6yw4GTx9P3lY8s66Pazdl1pim2s8zsum+MbLr6q/JUB3VSd5yDxkjj7/3T03XVs7V7Vu5Q5spdVOM/Cczw3whp2fWU4/IfMY4zhVH+ZA/We71aGm1K3tXO2vhtzDCnBPY/SddXhtU+dyBVrzkl8+cgIJCjZkHtgfuf2y6mmxlVfK1pBy5A1ABHAOwnPPK4HP5jFpE6SzJstDMpDj/WHzkDu3PyHv8A4y9s6nSttdO8G2zsg5IGM5PyGBDvKecEhXrbQoA0tre3LLuwAMM3Pv8AvxLAHgcYOO3ykhI5EsEndv0jMVfv9/8AARmbV2ZzuiYjGZEykyRiMZiMpKJiMZijBQhCMjjEjJCIHJCRjERpCSEiIxEqExK3V1q77WGVKvuU9jnA/kTLESu1KvusZe+FC57Egk/4zO7Sm7yu/wAA6v8AGpUOdJuLjUZHFY/KR33+3bHv85670tQMgDAAAA+QEratSxba9TIfY5BU/r+ks+m92+wmFaxXZvmy3yTrfdPqmgS+s1tx7hsDKn5jM866t4IvspN1RV2A8xK+Q7r8h7Ake2Z6N1E5QVjvawqH2OSx/RAx/SZLWCqT7KPYew+ki+Kt51kYrzjtW9d4l836x9pZWBVl9LKwIZfoRjIPOZStp7dRalNSl7HPpQH2HJ7ngAZ74n0R1n/Rt3N9VVpxxvpDMQM9iR9JSabSdOoJ/CadazYShdaiM45xuPOPf5TKuGKzu9XP2nbLTl5dHJ+GekHS0+sYus9T++0ey5+n+M9H0Y3aYDvupIx88rOS1jANjIyfb3M67pDfwav7AE2q8i2zx3WXvSxbOCoIOSVIIP6HM0KOqaq63zW1LVN5Yr3qzKxQH5jn3JPPtPUvEf8AR/Rqi9i3eQGDMwNeUBx3GCMCeWdS6TqtHjz6XWsqGS3afKdTyDu7An5HkTg7m1PDr5vV7Gx4Jtacu/hqtdN1nUKvltqLLKskANYzAE/c/Uj9Z3X9E5Zm1lhyRioAk++XP79p5j0PSX6yxaNMhtfdvYDGFQdyzHgfLn5z2bpmq0PSqBpXtQXKq2Xk2Inrfty7DPsABnjHzm2Ck80TLHtauP8AqNcfk6uvt+p/nGZj0tgatHXlWUMD9DyP5yZnpxs8mSMiZIyJlpIyJkjIxpIxRmKMFCEIyEYijEAlGIhGIjSEYkRJCTJwkJq29z95siUXVktF29SCMKFDbxggnIDLnBOR3GD+kzuureM2end2+wnOdR1r13fEdmF3KO/Oc7dxAzx9Zd+HgwTDdwP8Zm0bOosC2h3OFC7Kx3L2OcnCjkkBR+5is1ich0KqRzu24x9V3Zx+kh1fQpb5eVLFd2OMpg4JDDcPdRjn2miOkr76ZDnGSKxnBHbcztjHbt9oQJno3tQQFyoHOADjjk4Hb25zOG6j1rUEfAF79++cewK8e47zudUPTjhfhwD2BBBA/unEa3pKacBrNQiDzMqWKIN2G4HpGfizj3KqZMnDnnt82zzVyAgwwLoWySpxhCf6vz9zO96Ic0VfYj+8zg+peVp2U26gruzgM7Yb5nbnGPriW+n8UrR5NIrN2WPmMp5RW9SkDGGyMnuBx3kRaIaxjtbpEOt6u+6sU4z5ud6juaEG6wc/1hhP+YJkTrteBmuwZ4wK9wP2xyR+koNZ4s0tOoVgH1Aeta0evaa19XqCHd62JKZA+SjvLbq/izTaZEfDXb/ZMYTjPrLEBDz8J578cHFc0deq4w30rHLM67N7S9TpGQmndectioKO5GSc4lJ1bq6i87acE7dzCwray4/qggFsA98dsZxLSzxVpxpV1IV23AfwNoFy592GcKvHxdjxgnIzzXVOtaUp+JRHa+2weZpWvA2VZKm0rz6CG4OBndzDmjzLuMltq+OjutAhWmpW+IVqD98DMzGRqACqF4UKAB8hjiMzphxSRijMiZSZIxRmKURGRjMUZCEIQAEYijgDEkJGOI0hGJGSERmJr3HkzYEqus2Mu0gkYZjgHAZgjbVP0LY+/Amd9l1YNXoEdzYGKuV2k+5Azjg/c9we8wXW31CoJdtb17vgzbjG0BSBuP0G3v7d4wSWrJOQaQWcth3twpGQvoPGe36cSPWNuawVLE7wAOR2HdTw32JxObL0rLpwRrkjX30Y9d1a20hvMOnVRwgsK7sdyCdufYeoFBx35mt1PXPcVNzNTs+FF3ndju2FGQe3q/YDnMXc5ySNQf662AhO+OQp+p9WF+XdhMR3His+ec7vWrkVj2IDMP8AqBI7cHicc3md59+/J6daVjTSPfvz+is8RXtaK/xgO1eKdoB3jjJO9tpyMerg/IHnFD1t7GC/is3BSK6QnBReDsJwGAIHwvljt5Ixzeupy34c7mLA2Fx2yRggkcnOeWG854xzOf1G1d3kv+HIbbY9u1V7/Cm8nbggnaecDk8EQ1mffvVrEREfL9vx/Ln9UWJAcjU7WVUUMo8kD4QQoO0dxt+EY95vdMckELaCCxDO2D56kf7Ha+N554A4O7uOCNG7aCwG7S4fBO45s7ZACDK44OASoz3+Gdp4N6VTqNOw1GnHGoLIQSAw2qd2QcMDk/IHPaa16sbXinWVZoBYRnSgpXuIsFi7nY4bs2CzYUkYTa/33LJaALmz8Ep8wcOtiIQEyMKvxJ39nGeBjGGnaX+DtJcys5sJU+zKMrndtOF7Zz9fUee2NjU+CdNcNtllnDlwRsBBIwc+nDHgeogt355OdO7kV43H4+/n5/s5TTVqbXK5GrG4sSo8hbOdzjeSwyDjcwK+o+xGNXU2Ycgllv8AQ1tygBLlzyqhQByDjcOG29sHn0DUeGdJTpn3tYaaqs7cqCNmSMNt3d+wzgZGAMDHn/TNCdRdXRX6d7EDJyEHLEn54GT9ZpjwazrOzy+0+24wVimKNb26Rr79I+ursbfH9ecJpmK+xNgBx9gD/OWXSfFulvYIc02HgK+NrH5Bhx++Jx1/SNK9VzabUNY+nXfYrV7Q6ZwWQ57DPYyjKnAOODkA44OO/wDMTtiIl8jPaPFYrRN5iY+mnrD2sxGc34H6s19LVWHNlOAGPdqznGfmRgj9p0Zie/hzVzY4vXaRImOIxtCMUcUZCEIQAhCAgDEkJGMRGlHIxxGkJhvT3/v+UzRybRqcToprtCOCuBgAAYwNo9gR2E1esE/wwHVQS4IOzL5HwgN8RPy47y/ehT9D9P8AKaOr6T5uNzDC7sYzgkjA3L2I+mZz5aWmsxDow5K1vEy53dn3OnHORvdi49+cKR7DnK/XvMVwH/mDyRncAgJ8w+5OO/0bj6CdJV0Je9thsP5SR8JGcEZz8+3b6SdPQahnc72Z7bmztPzH1+s5Y4e7vni8cePv6/y4TrIGB+IQ7d38Py19TnAzkuwByPn6v03Sh6ozf+Yq6ja4VK62CGonGA5RSy5AxsYH4e4Kgn1fSeGdHUWZayS/xFmJJ5zn759+/J+cyaXw7oas7NLWMjafTn08cc544HH0lRwtvETx9I2iff2eCahzn4xqcMCEJ9NIGMHaDgfLKnYPrkY9D/otKNp79rlwdQSSR7lE4yfi++BPQtL03TVf7LT1V/2KlX+QkOoDlT7cj6TaMPL11cuTie8jl0RqoU+37ZH8psppl+bD/iMxUe0265TBT+L9PjQajaWJCKeXJGAy54+2ZwPg3/46n+zf/wDxsnrF9K2IyMMq6lGHzBGDPJeo6HUdO1QI4KNvptx6XX/24Im2Kekw8Dtak0zYs/6Y01+k6p+GPg12RkfgLc/9ScZmxq9XpDoqsaZgPO1Cov4ok1ttr9ROzkcjj6fWams6+Xrsrr09VAuINzIDufBzjk+kZ9hKdVJIABJJAAAyST7ATXTXrLyJzxSsUp8XTTXT/evjHv6Oq/o7U/iLj+UU4P3Lrj+Rnfyj8JdGOlpO8fxbSGcf1QPhX9Mn9TLuEvouz8VsWCtbb7+okTGYoOwoQhGQhCEAIQhACMRRwCUciI4jSEcjHEaUcjHEZ5jzFCIJZhmRjgZ5gYsxZgC2L8gJIHEUItIGqXmH5zW1mmruUpagsU/lYZ/UfI/WZoo4hNusaS5u3wVoicjzEH9UWcf/ALAn++WPTOh6XTc1VgP/APMJ3P8AoT2/TEsopTnpwuGluatIifkIoRGNuDFAxRkDCEIAQhCAEIQgBCEIAxJSMcRnHFCASjkY4jOORjiBwihAzhFCAOKEIEIoRRgRRxRkJGOKAKEIRkIQhACEIQAhCEAICEIARwhAHHCERnAQhEDgI4QMQhCICEIQAihCMEYGEIEUUIRgooQjIGEIQAhCEAIQhAP/2Q=="
00000000012,Ортопедия,Слепочные материалы,Huge - А силликон,Perfit huge,А силикон,"Perfit Putty + Perfit Light Body, А - силиконовый оттискной материал (Набор)",2шт,Синий,Китай,,2шт,,шт,10.0,28000.0,https://heliy.kz/upload/resize_cache/iblock/1f7/450_450_140cd750bba9870f18aada2478b24840a/1f71a833ea884c73fae66e5fa4aea744.jpg
00000000013,Эндодонтия,Распломбировка и расширение каналов,I-EDTA,I-EDTA,"Для разрширения каналов, эдта гель, обработка корневых каналов",EDTA гель (крем) - гель на основе 15% раствора ЭДТА для расширения и очистки корневых каналов.,"3,7 гр",Розовый,Литва,I-Dental,"шприц - 3.7 гр, наконечники - 5шт","Для расшироения канала, эдта","Для расширения канала, эдта",10.0,1500.0,https://dentverses.com/media/image/1059/i-edta-gel.jpg
00000000014,Полировочные системы,Диски абразивные,Diamond flex,Diamond flex,"Гибкие войлочные диски, используемые в сочетании с пастами и абразивными составами для полировки реставрационных материалов и зубной эмали",Подходят для неровных и наклонных поверхностей,24 войлочных диска (8 мм и/или 12 мм),,Бразилия,,1 шт,,шт,10.0,7700.0,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAFwAXAMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAABQYDBAcBAv/EADcQAAEDAgQCBggFBQAAAAAAAAEAAgMEEQUSITETUQYHIjJBYRQVI3GBkaHBNEJD0eEkJUSCo//EABkBAQADAQEAAAAAAAAAAAAAAAADBAUCAf/EAB4RAQEAAwACAwEAAAAAAAAAAAABAgMRITMSMTIE/9oADAMBAAIRAxEAPwDuKIiAiLBWVlNQxcWsnjhjvbNI4NF+SCudKsdqsPqm09K5sfYDi7KCTe/P3KMo6fpVjHb9MmpID+pJ2Cfc0an6DzWLpHfF+kMRwmspnvysawZiTmBJ2AKdIKjpXhNLHUVmLU7GyScMNgYCb2J8WjkrOOPiSc6s4ycknOtPGejPSOnilqJa51XDG0vd/UOvYak2ctzqrqJXy4jC6Rxja2NzWk6AkuuR9FWarE8Rq4iyrxiqkY8WcwOIaR5gGyn+qn8diVjcGKO3zcpM5ZqvySZ45TXfk6SiIqSkIiICIiAoXpRh7sTp6WBrbtFQHu1AsADz87KaWCc6s+K9l5evZeI3BcIdQyGZ8rs2UtyWbltv4C/1UD1oyH1bQxxWfMKoP4YFzbI4XtyupWs6T09HVGnm4MZLnNYZpgzORuBdRWMVklZauayVjYoGzAROcc2UuLSbOb2d7g76bWUmu35S13r8ZSue12Jy1UbWPjgbl1zMjDSfkrV1RTCWuxABgaW08YJH5u07VUVzrkm9/Mq9dUtvWNXa1zRRk2Fvzv8A4V3dJNVXN3rrp6IizWeIiICIiDwrXqT24/j9lsHda9T3o/j9kFEr6J+I48aZghLRNJI/igm7RcFo08c19xa19VrVVK+koZYpiJQymlba9798gAZTtyu3Y7202MUpJZcWklbmAZLJ3ZCw9rS4I5brDXRzR4c6OR5kPosjRbvPPtCLHOADYHUh1wDz1mw+02H25/dXnqjP9zqbEfgmeFv1HKh3V66oy71rUZh/gttvtxHeX7/te3+urW78V1NerxerLZ4iIgIiIPCtap7zPj9lmkcBubKPrpTwiYHAyNGnZzcvAIK1VdmvqbakynYea1sVYXxsEk08MMUTpHPhe+N7dT4tY4nQXseXvtY4IzPM0zx05JJzh1I4F3+xNgq90/lbhlOJhT+wnj9GaY5MuV5bIb5RuLKbX5ykSa73JzC+u9/NXXqglEmNVLQD2KEN/wCl/uqOrz1U8KPHarI3Jej11vftNV7+j11b3fiusovhjwdiCvtZagIiICIiD4kY1w7QUXUR0gquAAwTFmfLsS29r/NSxF1ifSwSPbI+Jhe3uuLRce4oISvlpaLgB5nzzktaGSv3+CjK6bBK2oho8RyzMMoaxs85cGzWNhvoSDYK4cFmXLYZeSwHDKI5r0lOc3e9k3X36LqXjqXjn+N9HsIo8QpuFTQtie9gkjfmDGgki5eNQSdB5qeZhOBYHSyVdNQNhLbB3CDi5wuOWp5qzPpYXsMb4mOYd2uaCPkvtsLGizWgDkBZe5Z3Kcr252ziPwaopa6kbU0b80TiQDe97aH6qTGy8DQF9LhwIiICIiAiIgIiICIiAiIgIiIP/9k="
00000000015,Адгезивы,Адгезивы,I-BONDING LC,I-BONDING LC,светоотверждаемый адгезив на водной основе,Для адгезивного соединения в пломбировочной терапии,5мл,,Литва,I-dental,Флакон  5мл,,флакон,10.0,3500.0,https://dentalshop.kz/dentalshop/images/i-bonding-lc.jpg
00000000016,Ортопедия,Слепочные материалы,Бетасил А силикон,"Базовые материалы. Применяются при одноэтапной и двухэтапной технике снятия слепка. Удобно смешивается в разных консистенциях, легко отделяется от слепочной ложки, имеет твердость по Шору",Бетасил А силикон,Рабочее время: до 2 мин.,,Синий,Германия,MULLER-OMICRON,,2*300МЛ БАЗА + КОРР. СЛОЙ 2*50МЛ,шт,10.0,30000.0,https://dentalshop.kz/dentalshop/images/1356046734_prev.jpg
00000000017,Адгезивы,Адгезивы,PQ1 - Бонд,PQ1 - Бонд,пекью бонд,адгезивная система 5-го поколения,"1,2мл",,США,Ultradent,1 шт,однокомпонентний,шпр,10.0,12000.0,https://images.prom.ua/3258320905_adgezivna-sistema-v.jpg
